time,open,high,low,close,volume,ticker
2024-01-02,67330,67630,67030,67430,2142800,VNM
2024-01-03,67530,68120,67130,68120,1889800,VNM
2024-01-04,68220,68610,68120,68120,3401500,VNM
2024-01-05,68420,68420,67630,67920,1475700,VNM
2024-01-08,68120,68220,67330,67330,2396400,VNM
2024-01-09,67330,67630,67130,67230,2460400,VNM
2024-01-10,67230,67230,66540,66640,3006600,VNM
2024-01-11,66640,67630,66640,67030,2083900,VNM
2024-01-12,66740,67030,66140,66340,3283000,VNM
2024-01-15,66340,66640,66140,66140,2226700,VNM
2024-01-16,66140,66540,65850,66540,2072400,VNM
2024-01-17,66640,67030,66140,66240,1826400,VNM
2024-01-18,66440,66930,66440,66540,1228400,VNM
2024-01-19,66540,67720,66540,67130,2619900,VNM
2024-01-22,67130,67820,67130,67430,1959800,VNM
2024-01-23,67430,67430,66740,66840,2112000,VNM
2024-01-24,66930,67130,66340,66440,2083500,VNM
2024-01-25,66540,66640,66050,66050,2660500,VNM
2024-01-26,66140,66640,66140,66140,1675800,VNM
2024-01-29,66240,66440,66050,66140,1732800,VNM
2024-01-30,66440,66440,66050,66050,1790400,VNM
2024-01-31,66340,67330,66050,66140,4020100,VNM
2024-02-01,66340,66930,66340,66640,2499300,VNM
2024-02-02,66640,66840,66140,66540,2611300,VNM
2024-02-05,66540,67330,66340,67130,3565900,VNM
2024-02-06,67230,67330,66740,66740,2392800,VNM
2024-02-07,66740,67030,66340,66740,2736300,VNM
2024-02-15,66740,67130,66340,66740,3876600,VNM
2024-02-16,66930,69400,66640,69110,11114600,VNM
2024-02-19,69990,71670,69800,70980,6652800,VNM
2024-02-20,70780,71480,70390,70590,4385700,VNM
2024-02-21,70590,70980,70090,70390,3590200,VNM
2024-02-22,70390,71770,70190,70690,4648100,VNM
2024-02-23,70880,71770,70090,70090,6142500,VNM
2024-02-26,70090,70780,69800,70090,3048400,VNM
2024-02-27,70290,71480,70190,71080,5282500,VNM
2024-02-28,71480,71670,70590,71280,3419000,VNM
2024-02-29,71670,72360,70690,71080,6539800,VNM
2024-03-01,71180,71180,70290,70590,4397700,VNM
2024-03-04,70880,71770,70690,71080,5014600,VNM
2024-03-05,71080,72070,70780,72070,5440900,VNM
2024-03-06,72360,72560,70880,70880,4833900,VNM
2024-03-07,70780,71180,70390,71080,5067600,VNM
2024-03-08,71180,71970,69110,69110,7361000,VNM
2024-03-11,69600,70390,69110,69400,4208400,VNM
2024-03-12,69500,69700,69110,69110,3844000,VNM
2024-03-13,69210,69990,69110,69900,5646500,VNM
2024-03-14,70090,70390,69400,69600,5445400,VNM
2024-03-15,70100,70100,68700,68800,4851100,VNM
2024-03-18,68800,69100,67600,67900,6796400,VNM
2024-03-19,68500,68500,67800,67800,3164500,VNM
2024-03-20,67800,68600,67500,68000,3546900,VNM
2024-03-21,68200,68500,67900,68400,4906200,VNM
2024-03-22,68600,68700,67800,67800,6066700,VNM
2024-03-25,67900,68200,67100,67300,5450700,VNM
2024-03-26,67400,67900,67300,67700,2504200,VNM
2024-03-27,68000,68000,67500,67700,2637700,VNM
2024-03-28,67700,68400,67600,67700,4470700,VNM
2024-03-29,68400,68400,67500,67600,3484600,VNM
2024-04-01,67600,67700,67000,67000,4988000,VNM
2024-04-02,67000,67400,66700,67300,4322900,VNM
2024-04-03,67300,67300,66700,66700,5046100,VNM
2024-04-04,66700,68400,66700,68200,7472800,VNM
2024-04-05,68200,68200,67700,67900,4233800,VNM
2024-04-08,68000,68000,66900,67000,3666000,VNM
2024-04-09,67100,67300,66800,67000,2516000,VNM
2024-04-10,67100,67300,66800,66800,2765500,VNM
2024-04-11,66700,66900,66500,66600,2947700,VNM
2024-04-12,66800,67100,66600,66700,2509200,VNM
2024-04-15,66700,66700,64900,64900,5756100,VNM
2024-04-16,64900,65000,63000,64000,7128700,VNM
2024-04-17,64400,64900,64200,64200,4589800,VNM
2024-04-19,64200,64400,63300,64200,4516100,VNM
2024-04-22,64700,65300,64000,64000,2035200,VNM
2024-04-23,64200,64300,63200,63500,2014400,VNM
2024-04-24,64000,64300,63500,64000,2401300,VNM
2024-04-25,64000,64800,63900,64700,1916000,VNM
2024-04-26,64700,65800,64500,65000,2940600,VNM
2024-05-02,65400,65500,64900,65400,2563400,VNM
2024-05-03,65600,66000,65500,65600,1966400,VNM
2024-05-06,65800,66400,65500,65800,2261300,VNM
2024-05-07,66000,68500,65900,68000,8485900,VNM
2024-05-08,68000,68000,67100,67900,2964400,VNM
2024-05-09,67900,67900,66600,66600,2998000,VNM
2024-05-10,66700,67500,66100,66500,2418100,VNM
2024-05-13,66600,66800,65400,65800,2732500,VNM
2024-05-14,65900,67000,65900,66500,2433100,VNM
2024-05-15,66900,67300,66700,67000,3234900,VNM
2024-05-16,67100,67700,67000,67200,2911400,VNM
2024-05-17,67300,67800,66800,67000,4169000,VNM
2024-05-20,67100,67600,66400,66400,4920600,VNM
2024-05-21,66400,66600,65800,66200,3799500,VNM
2024-05-22,66400,66700,65800,65800,3618300,VNM
2024-05-23,66000,67000,65800,67000,2991400,VNM
2024-05-24,66700,66900,65700,66000,4104100,VNM
2024-05-27,66100,66600,65800,66100,2336600,VNM
2024-05-28,66300,67300,66100,66800,5347500,VNM
2024-05-29,67000,67300,66000,66300,3357900,VNM
2024-05-30,66100,66200,65500,65700,4412600,VNM
2024-05-31,65900,65900,65300,65400,4143400,VNM
2024-06-03,65800,66600,65700,66100,3190500,VNM
