ticker,volume,close,volume_according_to_price
AAA,7863700,11100,87287070000
AAM,7900,8650,68335000
AAT,165800,4270,707966000
ABR,700,13100,9170000
ABS,520900,5400,2812860000
ACB,11038000,24600,271534800000
ACC,11400,14650,167010000
ACG,104000,49500,5148000000
ACL,46500,12800,595200000
ADG,2900,17000,49300000
ADP,800,28900,23120000
ADS,1701100,13900,23645290000
AGG,1381500,25600,35366400000
AGM,172200,4720,812784000
AGR,2971300,20950,62248735000
ANV,3407300,33000,112440900000
APG,112400,13500,1517400000
APH,4501000,9210,41454210000
ASG,3300,19500,64350000
ASM,3979100,11750,46754425000
ASP,133300,4700,626510000
AST,34500,61900,2135550000
BAF,3434000,21650,74346100000
BBC,1200,50200,60240000
BCE,80100,5950,476595000
BCG,13750600,8800,121005280000
BCM,799500,62800,50208600000
BFC,745100,35500,26451050000
BHN,5500,39800,218900000
BIC,119700,33750,4039875000
BID,2240900,47500,106442750000
BKG,626300,4280,2680564000
BMC,51400,17400,894360000
BMI,253600,25200,6390720000
BMP,160200,107000,17141400000
BRC,4500,14400,64800000
BSI,1224900,58000,71044200000
BTP,76800,14000,1075200000
BVH,707900,44500,31501550000
BWE,397700,44550,17717535000
C32,2400,17550,42120000
C47,36300,5840,211992000
CAV,20000,72000,1440000000
CCI,57500,24000,1380000000
CCL,1204100,10300,12402230000
CDC,460900,19550,9010595000
CHP,10400,34450,358280000
CIG,105800,5250,555450000
CII,6873600,17300,118913280000
CKG,484900,25500,12364950000
CLC,3800,48500,184300000
CLL,7300,40500,295650000
CMG,3529700,70000,247079000000
CMV,2400,10900,26160000
CMX,1009700,9130,9218561000
CNG,892500,33200,29631000000
CRC,88900,6310,560959000
CRE,169400,8140,1378916000
CSM,145600,16000,2329600000
CSV,1833400,69100,126687940000
CTD,1977700,72600,143581020000
CTF,340800,32100,10939680000
CTG,10429800,32800,342097440000
CTI,2679700,17200,46090840000
CTR,962200,152300,146543060000
CTS,2261500,42800,96792200000
CVT,2500,28100,70250000
D2D,31100,47400,1474140000
DAG,177200,2560,453632000
DAH,211400,3980,841372000
DBC,7494900,35200,263820480000
DBD,265200,53000,14055600000
DBT,96800,14000,1355200000
DC4,325700,11750,3826975000
DCL,1139200,30400,34631680000
DCM,9203900,37500,345146250000
DGC,2935800,121700,357286860000
DGW,2966500,63100,187186150000
DHA,92700,45750,4241025000
DHC,314600,41400,13024440000
DHG,29400,116000,3410400000
DHM,43700,8800,384560000
DIG,13479800,27400,369346520000
DLG,1076900,2080,2239952000
DMC,4700,63500,298450000
DPG,1585800,57700,91500660000
DPM,8169000,36800,300619200000
DPR,1082500,43050,46601625000
DQC,23100,15100,348810000
DRC,1569100,34200,53663220000
DRH,546300,3470,1895661000
DRL,800,64700,51760000
DSN,5600,55900,313040000
DTA,16300,4400,71720000
DTL,6800,13800,93840000
DVP,9800,76500,749700000
DXG,6370900,16500,105119850000
DXS,2961700,7680,22745856000
DXV,23400,6010,140634000
EIB,8460400,18500,156517400000
ELC,6521700,29200,190433640000
EVE,144600,13850,2002710000
EVF,11109000,14800,164413200000
EVG,2643600,7120,18822432000
FCM,25400,4120,104648000
FCN,1444800,14850,21455280000
FDC,600,15000,9000000
FIR,947300,7380,6991074000
FIT,2015800,4720,9514576000
FMC,63800,51900,3311220000
FPT,6406200,131000,839212200000
FRT,793700,174000,138103800000
FTS,3796600,45000,170847000000
GAS,2277200,79000,179898800000
GDT,122300,29200,3571160000
GEG,1645200,13750,22621500000
GEX,35934600,23700,851650020000
GIL,1242200,35000,43477000000
GMC,3700,8900,32930000
GMD,2064400,83000,171345200000
GMH,4300,9000,38700000
GSP,597100,13900,8299690000
GTA,13900,11900,165410000
GVR,5510300,33000,181839900000
HAG,33576600,13300,446568780000
HAH,8807300,48000,422750400000
HAP,72700,4690,340963000
HAR,181800,4320,785376000
HAS,100,9900,990000
HAX,1058000,15150,16028700000
HBC,794200,7790,6186818000
HCD,1500800,10650,15983520000
HCM,14972300,28900,432699470000
HDB,7372600,23950,176573770000
HDC,3239100,30500,98792550000
HDG,19196200,32450,622916690000
HHP,248300,9260,2299258000
HHS,4100500,10450,42850225000
HHV,5149800,13150,67719870000
HID,182800,3160,577648000
HII,268900,6040,1624156000
HMC,9700,12450,120765000
HNA,1900,25000,47500000
HNG,7036500,4820,33915930000
HPG,34292400,29100,997908840000
HPX,2487900,6500,16171350000
HQC,5806100,4070,23630827000
HRC,300,44550,13365000
HSG,17400200,23550,409774710000
HSL,80000,5480,438400000
HT1,1906200,12750,24304050000
HTG,41300,35700,1474410000
HTI,45000,16000,720000000
HTL,200,18100,3620000
HTN,4401400,14200,62499880000
HTV,21100,9210,194331000
HUB,77100,18300,1410930000
HVH,1498200,8050,12060510000
HVN,11335400,30600,346863240000
HVX,41100,2920,120012000
